x,y,z
67.02196,42.99164,3.5464106
67.02196,42.99164,3.5464106
67.05118,42.914,11.446826
67.05118,42.914,11.446826
48.547737,48.87085,0.28090376
48.547737,48.87085,0.28090376
48.64529,48.80412,7.882954
48.64529,48.80412,7.882954
48.14366,49.11605,7.882954
48.14366,49.11605,7.882954
48.348377,48.99786,0.28090376
48.348377,48.99786,0.28090376
48.348377,48.99786,0.28090376
48.348377,48.99786,0.28090376
48.547737,48.87085,7.882954
48.547737,48.87085,7.882954
63.50044,53.00853,12.517774
63.50044,53.00853,12.517774
63.456806,52.789124,1.9487698
63.456806,52.789124,1.9487698
31.51286,9.679256,0.28090376
31.51286,9.679256,0.28090376
31.557972,9.523285,1.5274142
31.557972,9.523285,1.5274142
33.038773,31.394634,10.691899
33.038773,31.394634,10.691899
33.035843,31.349941,3.0197155
33.035843,31.349941,3.0197155
22.813507,27.402458,9.2769575
22.813507,27.402458,9.2769575
22.80854,27.311462,0.28090376
22.80854,27.311462,0.28090376
22.834108,27.637936,9.2769575
22.834108,27.637936,9.2769575
22.813507,27.402458,0.28090376
22.813507,27.402458,0.28090376
22.864967,27.872292,9.2769575
22.864967,27.872292,9.2769575
22.834108,27.637936,0.28090376
22.834108,27.637936,0.28090376
22.884214,27.988918,9.2769575
22.884214,27.988918,9.2769575
22.864967,27.872292,0.28090376
22.864967,27.872292,0.28090376
22.93033,28.220757,0.28090376
22.93033,28.220757,0.28090376
22.906012,28.105087,9.2769575
22.906012,28.105087,9.2769575
22.906012,28.105087,9.2769575
22.906012,28.105087,9.2769575
22.884214,27.988918,0.28090376
22.884214,27.988918,0.28090376
85.83269,34.43434,2.1636531
85.83269,34.43434,2.1636531
86.13766,34.12938,8.436439
86.13766,34.12938,8.436439
53.063137,14.453011,18.767881
53.063137,14.453011,18.767881
53.07943,16.005577,16.099297
53.07943,16.005577,16.099297
48.722538,4.755764,1.5098578
48.722538,4.755764,1.5098578
48.661716,4.800171,0.28090376
48.661716,4.800171,0.28090376
69.013565,19.333836,3.0062747
69.013565,19.333836,3.0062747
70.25499,20.575264,0.28090376
70.25499,20.575264,0.28090376
40.42836,40.319214,5.0562587
40.42836,40.319214,5.0562587
40.380505,40.390816,2.5983505
40.380505,40.390816,2.5983505
49.498173,36.60947,0.28090376
49.498173,36.60947,0.28090376
50.57345,36.101006,0.28090376
50.57345,36.101006,0.28090376
50.57345,36.101006,0.28090376
50.57345,36.101006,0.28090376
49.498173,36.60947,3.3091238
49.498173,36.60947,3.3091238
39.999428,17.94984,0.28090376
39.999428,17.94984,0.28090376
39.943653,17.993305,2.5456903
39.943653,17.993305,2.5456903
36.49942,33.27327,0.28090376
36.49942,33.27327,0.28090376
36.429626,33.432484,3.0197155
36.429626,33.432484,3.0197155
26.65604,34.54682,12.629848
26.65604,34.54682,12.629848
26.65604,33.73989,1.2726438
26.65604,33.73989,1.2726438
63.92563,73.03304,7.6546273
63.92563,73.03304,7.6546273
63.89687,73.32505,0.28090376
63.89687,73.32505,0.28090376
35.684956,48.93363,17.784708
35.684956,48.93363,17.784708
35.723907,49.09732,12.254418
35.723907,49.09732,12.254418
37.257935,49.767387,0.2808944
37.257935,49.767387,0.2808944
37.457016,50.996304,1.2465011
37.457016,50.996304,1.2465011
33.10659,31.558357,3.0197155
33.10659,31.558357,3.0197155
34.89134,33.34311,10.691899
34.89134,33.34311,10.691899
33.13611,31.592028,3.0197155
33.13611,31.592028,3.0197155
33.10659,31.558357,3.0197155
33.10659,31.558357,3.0197155
35.672203,48.765854,5.8111873
35.672203,48.765854,5.8111873
35.684956,48.93363,0.2808944
35.684956,48.93363,0.2808944
57.05252,46.995827,0.28090376
57.05252,46.995827,0.28090376
57.73091,46.317436,3.5464098
57.73091,46.317436,3.5464098
27.515875,40.98734,0.8075983
27.515875,40.98734,0.8075983
27.681038,41.068783,3.5464098
27.681038,41.068783,3.5464098
35.59118,82.85909,3.0899413
35.59118,82.85909,3.0899413
36.057858,83.07054,0.28090376
36.057858,83.07054,0.28090376
35.133198,82.61455,0.28090376
35.133198,82.61455,0.28090376
35.588066,82.85768,3.0899413
35.588066,82.85768,3.0899413
35.588066,82.85768,3.0899413
35.588066,82.85768,3.0899413
35.59118,82.85909,0.28090376
35.59118,82.85909,0.28090376
51.4035,14.9255295,6.706577
51.4035,14.9255295,6.706577
52.37181,16.191792,6.4256735
52.37181,16.191792,6.4256735
31.956583,37.749138,0.28090376
31.956583,37.749138,0.28090376
30.454348,39.52449,3.0202274
30.454348,39.52449,3.0202274
31.070822,16.778774,1.6977478
31.070822,16.778774,1.6977478
31.866108,15.983494,11.925544
31.866108,15.983494,11.925544
88.84784,36.0947,0.28090426
88.84784,36.0947,0.28090426
85.22246,32.469326,2.1636534
85.22246,32.469326,2.1636534
67.02196,45.74048,3.5464098
67.02196,45.74048,3.5464098
67.08541,45.89367,11.446826
67.08541,45.89367,11.446826
34.279358,30.814945,10.691899
34.279358,30.814945,10.691899
34.32796,30.851326,3.0197155
34.32796,30.851326,3.0197155
48.246662,39.67406,12.868903
48.246662,39.67406,12.868903
48.348377,39.73427,0.28090376
48.348377,39.73427,0.28090376
48.14366,39.61608,12.868903
48.14366,39.61608,12.868903
48.246662,39.67406,0.28090376
48.246662,39.67406,0.28090376
47.934,39.506927,0.28090376
47.934,39.506927,0.28090376
48.039425,39.560364,12.868903
48.039425,39.560364,12.868903
48.039425,39.560364,12.868903
48.039425,39.560364,12.868903
48.14366,39.61608,0.28090376
48.14366,39.61608,0.28090376
26.77819,54.04697,1.9487698
26.77819,54.04697,1.9487698
26.964186,53.922695,12.517774
26.964186,53.922695,12.517774
59.849495,73.53556,2.8792634
59.849495,73.53556,2.8792634
59.753418,73.85227,0.28090376
59.753418,73.85227,0.28090376
11.195938,34.23693,2.4579077
11.195938,34.23693,2.4579077
11.29232,34.30508,17.117577
11.29232,34.30508,17.117577
33.21834,31.0313,3.0197155
33.21834,31.0313,3.0197155
33.13611,31.107864,10.691899
33.13611,31.107864,10.691899
53.174866,14.341278,18.767881
53.174866,14.341278,18.767881
53.4891,12.839924,16.099297
53.4891,12.839924,16.099297
29.671831,40.170555,3.5464098
29.671831,40.170555,3.5464098
29.594189,40.199776,9.884301
29.594189,40.199776,9.884301
51.44074,14.366882,13.588718
51.44074,14.366882,13.588718
51.55247,14.776558,13.307816
51.55247,14.776558,13.307816
29.696705,80.12563,9.094258
29.696705,80.12563,9.094258
29.86613,80.03997,2.6159163
29.86613,80.03997,2.6159163
52.83019,44.39594,1.5098578
52.83019,44.39594,1.5098578
52.778522,44.243713,3.5464098
52.778522,44.243713,3.5464098
55.08528,6.5733185,1.5098578
55.08528,6.5733185,1.5098578
54.86138,6.4703827,0.28090376
54.86138,6.4703827,0.28090376
55.30806,6.6786766,1.5098578
55.30806,6.6786766,1.5098578
55.08528,6.5733185,0.28090376
55.08528,6.5733185,0.28090376
55.529663,6.7864647,1.5098578
55.529663,6.7864647,1.5098578
55.30806,6.6786766,0.28090376
55.30806,6.6786766,0.28090376
55.750084,6.8966637,1.5098578
55.750084,6.8966637,1.5098578
55.529663,6.7864647,0.28090376
55.529663,6.7864647,0.28090376
55.9693,7.0092583,1.5098578
55.9693,7.0092583,1.5098578
55.750084,6.8966637,0.28090376
55.750084,6.8966637,0.28090376
56.61936,7.36129,0.28090376
56.61936,7.36129,0.28090376
56.40396,7.2415886,1.5098578
56.40396,7.2415886,1.5098578
56.40396,7.2415886,1.5098578
56.40396,7.2415886,1.5098578
55.9693,7.0092583,0.28090376
55.9693,7.0092583,0.28090376
49.94746,15.390587,9.111815
49.94746,15.390587,9.111815
50.00099,15.548302,2.2989852
50.00099,15.548302,2.2989852
15.713747,39.924557,5.688303
15.713747,39.924557,5.688303
